"Country","Year","CO","NO2","SO2"
"Canada",2007,7408.103,"2281.1",2281.1
"Canada",2008,7212.883,"2207.988",2207.988
"Canada",2009,6843.254,"2052.0100000000002",2052.01
"Canada",2010,6771.71,"2096.0970000000002",2096.097
"Canada",2011,6335.051,"2053.7759999999998",2053.776
"Canada",2012,6124.501,"1961.5440000000001",1961.544
"Canada",2013,6020.423,"1929.0360000000001",1929.036
"Canada",2014,5919.384,"1904.172",1904.172
"Canada",2015,5833.053,"1829.61",1829.61
"Canada",2016,5763.48,"1760.8689999999999",1760.869
"Czech Republic",2007,864.341,"272.072",272.072
"Czech Republic",2008,804.899,"253.355",253.355
"Czech Republic",2009,802.237,"234.79599999999999",234.796
"Czech Republic",2010,823.538,"225.14500000000001",225.145
"Czech Republic",2011,804.768,"212.18799999999999",212.188
"Czech Republic",2012,803.598,"198.55799999999999",198.558
"Czech Republic",2013,821.334,"184.86099999999999",184.861
"Czech Republic",2014,798.138,"178.422",178.422
"Czech Republic",2015,794.92,"173.066",173.066
"Czech Republic",2016,798.03,"164.06200000000001",164.062
"Denmark",2007,407.905,"189.971",189.971
"Denmark",2008,386.459,"173.663",173.663
"Denmark",2009,354.087,"154.85",154.85
"Denmark",2010,344.352,"149.04499999999999",149.045
"Denmark",2011,305.388,"140.488",140.488
"Denmark",2012,287.016,"129.55099999999999",129.551
"Denmark",2013,273.066,"124.608",124.608
"Denmark",2014,249.028,"115.1",115.1
"Denmark",2015,252.771,"113.777",113.777
"Denmark",2016,243.361,"114.14700000000001",114.147
"Finland",2007,441.873,"203.80099999999999",203.801
"Finland",2008,420.104,"186.252",186.252
"Finland",2009,399.453,"168.53700000000001",168.537
"Finland",2010,411.249,"177.84100000000001",177.841
"Finland",2011,375.157,"162.80600000000001",162.806
"Finland",2012,372.055,"154.04300000000001",154.043
"Finland",2013,358.053,"149.398",149.398
"Finland",2014,352.21,"140.733",140.733
"Finland",2015,335.402,"130.215",130.215
"Finland",2016,339.626,"128.875",128.875
"France",2007,4533.962,"1271.806",1271.806
"France",2008,4316.03,"1174.741",1174.741
"France",2009,3838.564,"1089.999",1089.999
"France",2010,4220.924,"1075.424",1075.424
"France",2011,3512.592,"1012.097",1012.097
"France",2012,3198.598,"984.53599999999994",984.536
"France",2013,3249.206,"966.91200000000003",966.912
"France",2014,2730.381,"897.22799999999995",897.228
"France",2015,2676.406,"872.072",872.072
"France",2016,2731.925,"838.21699999999998",838.217
"Germany",2007,3520.393,"1499.088",1499.088
"Germany",2008,3412.267,"1427.728",1427.728
"Germany",2009,2967.263,"1330.509",1330.509
"Germany",2010,3332.434,"1357.3340000000001",1357.334
"Germany",2011,3244.826,"1341.492",1341.492
"Germany",2012,2872.539,"1303.701",1303.701
"Germany",2013,2844.732,"1302.3219999999999",1302.322
"Germany",2014,2738.772,"1263.2729999999999",1263.273
"Germany",2015,2844.824,"1239.413",1239.413
"Germany",2016,2858.252,"1216.924",1216.924
"Greece",2007,725.973,"405.68099999999998",405.681
"Greece",2008,673.323,"386.736",386.736
"Greece",2009,620.684,"374.32900000000001",374.329
"Greece",2010,558.51,"317.62299999999999",317.623
"Greece",2011,503.037,"295.32100000000003",295.321
"Greece",2012,530.734,"243.822",243.822
"Greece",2013,439.667,"241.74199999999999",241.742
"Greece",2014,443.851,"235.64",235.64
"Greece",2015,416.837,"233.33600000000001",233.336
"Greece",2016,375.332,"230.078",230.078
"Hungary",2007,543.114,"162.81299999999999",162.813
"Hungary",2008,484.106,"157.623",157.623
"Hungary",2009,526.808,"146.53299999999999",146.533
"Hungary",2010,531.196,"141.81",141.81
"Hungary",2011,540.496,"133.41200000000001",133.412
"Hungary",2012,556.809,"125.108",125.108
"Hungary",2013,549.416,"122.682",122.682
"Hungary",2014,470.698,"122.12",122.12
"Hungary",2015,457.597,"123.745",123.745
"Hungary",2016,449.694,"116.054",116.054
"Iceland",2007,75.877,"32.447000000000003",32.447
"Iceland",2008,114.01,"30.159",30.159
"Iceland",2009,118.022,"30.094000000000001",30.094
"Iceland",2010,117.203,"28.463000000000001",28.463
"Iceland",2011,114.996,"26.102",26.102
"Iceland",2012,116.447,"26.04",26.04
"Iceland",2013,118.8,"25.337",25.337
"Iceland",2014,116.998,"25.209",25.209
"Iceland",2015,119.579,"25.876000000000001",25.876
"Iceland",2016,121.993,"24.12",24.12
"Ireland",2007,186.328,"158.922",158.922
"Ireland",2008,178.689,"145.399",145.399
"Ireland",2009,157.374,"121.904",121.904
"Ireland",2010,143.924,"116.184",116.184
"Ireland",2011,132.637,"104.127",104.127
"Ireland",2012,125.482,"107.006",107.006
"Ireland",2013,117.518,"108.172",108.172
"Ireland",2014,110.438,"107.42700000000001",107.427
"Ireland",2015,107.239,"110.282",110.282
"Ireland",2016,101.073,"111.18300000000001",111.183
"Italy",2007,3366.907,"1165.056",1165.056
"Italy",2008,3496.752,"1080.06",1080.06
"Italy",2009,3112.453,"995.80799999999999",995.808
"Italy",2010,3075.72,"978.52599999999995",978.526
"Italy",2011,2435.766,"939.71299999999997",939.713
"Italy",2012,2670.903,"881.62900000000002",881.629
"Italy",2013,2501.816,"822.75300000000004",822.753
"Italy",2014,2268.007,"808.37900000000002",808.379
"Italy",2015,2377.01,"786.46699999999998",786.467
"Italy",2016,2309.33,"764.32",764.32
"Japan",2007,2948.744,"1770.22",1770.22
"Japan",2008,2758.021,"1638.557",1638.557
"Japan",2009,2665.77,"1551.117",1551.117
"Japan",2010,3304.23,"1555.855",1555.855
"Japan",2011,2719.587,"1492.61",1492.61
"Japan",2012,2799.78,"1445.979",1445.979
"Japan",2013,2716.753,"1385.277",1385.277
"Japan",2014,2621.454,"1331.559",1331.559
"Japan",2015,2513.168,"1296.1880000000001",1296.188
"Japan",2016,2381.67,"1261.7629999999999",1261.763
"Latvia",2007,202.822,"42.613",42.613
"Latvia",2008,184.322,"39.058",39.058
"Latvia",2009,194.096,"36.917000000000002",36.917
"Latvia",2010,155.253,"39.023000000000003",39.023
"Latvia",2011,160.854,"36.011000000000003",36.011
"Latvia",2012,166.733,"36.170999999999999",36.171
"Latvia",2013,149.888,"36.158000000000001",36.158
"Latvia",2014,143.629,"36.134",36.134
"Latvia",2015,121.426,"35.911000000000001",35.911
"Latvia",2016,117.97,"34.765999999999998",34.766
"Lithuania",2007,194.17,"59.59",59.59
"Lithuania",2008,184.404,"58.648",58.648
"Lithuania",2009,175.784,"52.302",52.302
"Lithuania",2010,157.727,"54.878",54.878
"Lithuania",2011,174.518,"52.253999999999998",52.254
"Lithuania",2012,167.947,"54.585999999999999",54.586
"Lithuania",2013,161.419,"53.082999999999998",53.083
