"Industry","Fuel Used","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Agriculture - stationary combustion","Fuel oil",0.01,0.02,0.01,0.01,0.02,0.01,"0.01",0.02,0.02,0.02
"Agriculture - stationary combustion","Natural gas",0.17,0.12,0.13,0.12,0.12,0.1,"0.09",0.09,0.08,0.08
"Aircraft - international take off and landing","Aviation turbine fuel",1.07,0.98,0.93,0.89,0.93,0.9,"0.91",0.91,0.92,0.95
"Shipping - coastal","Fuel oil",0.11,0.1,0.09,0.08,0.08,0.07,"7.0000000000000007E-2",0.07,0.03,0.02
"Shipping - coastal","Fuel oil",0.66,0.63,0.59,0.51,0.5,0.46,"0.42",0.44,0.16,0.15
"Shipping - coastal","Gas oil",0.89,0.84,0.81,0.8,0.73,0.65,"0.6",0.61,0.89,0.86
"Shipping - coastal","Gas oil",0.48,0.45,0.44,0.43,0.39,0.35,"0.32",0.33,0.48,0.46
"Coke production","Blast furnace gas",0.06,0.05,0.04,0.06,0.06,0.06,"0.06",0.06,0.06,0.05
"Coke production","Coal",4.3,4.25,3.91,3.92,3.97,3.67,"3.88",3.73,2.72,1.33
"Coke production","Coke oven gas",0.36,0.37,0.33,0.33,0.33,0.33,"0.31",0.32,0.27,0.09
"Collieries - combustion","Colliery methane",0.06,0.06,0.06,0.07,0.06,0.04,"0.04",0.03,0.03,0.04
"Domestic combustion","Anthracite",0.15,0.14,0.18,0.18,0.17,0.16,"0.21",0.17,0.17,0.15
"Domestic combustion","Burning oil",2.32,2.39,2.42,2.7,2.1,2.12,"2.2599999999999998",2.02,2.03,2.02
"Domestic combustion","Coal",0.34,0.38,0.34,0.36,0.36,0.34,"0.28000000000000003",0.25,0.25,0.26
"Domestic combustion","Gas oil",0.17,0.16,0.13,0.17,0.15,0.14,"0.14000000000000001",0.14,0.15,0.15
"Domestic combustion","LPG",0.28,0.37,0.35,0.45,0.32,0.33,"0.34",0.24,0.23,0.24
"Domestic combustion","Natural gas",30.34,30.91,29.68,33.5,26.55,29.51,"29.62",24.39,25.59,26.77
"Domestic combustion","Petroleum coke",0.11,0.12,0.02,0.02,0.03,0.06,"0.04",0.07,0.08,0.07
"Domestic combustion","SSF",0.18,0.23,0.21,0.24,0.21,0.2,"0.24",0.19,0.18,0.18
"Fishing vessels","Fuel oil",0.03,0.03,0.02,0.02,0.02,0.02,"0.02",0.02,0.01,0.01
"Fishing vessels","Gas oil",0.22,0.21,0.21,0.22,0.21,0.23,"0.23",0.27,0.27,0.25
