"Country","Year","NGCons"
"Belgium","2007",18.425224382
"Czech Rep.","2007",8.765145832
"France","2007",42.844688474
"Germany","2007",89.129922282
"Italy","2007",84.897013131
"Netherlands","2007",46.478628201
"Poland","2007",16.079355139
"Portugal","2007",4.344029585
"Romania","2007",15.91920361
"Spain","2007",36.784909729
"Sweden","2007",0.929140635
"United Kingdom","2007",96.017993626
"Norway","2007",5.42709076
"Turkey","2007",36.59930733
"CIS","2007",644.35904034
"Kazakhstan","2007",20.156559882
"Russia","2007",445.44473361
"Ukraine","2007",68.656523243
"Uzbekistan","2007",50.729182612
"America","2007",945.278874529
"North America","2007",752.696588166
"Canada","2007",98.51159483
"United States","2007",654.184993335
"Latin America","2007",192.582286363
"Argentina","2007",46.241012375
"Brazil","2007",20.961349606
"Chile","2007",4.439886063
"Colombia","2007",8.161708987
"Mexico","2007",63.199994085
"Venezuela","2007",21.593652611
"Asia","2007",455.403902472
"China","2007",70.489586636
"India","2007",42.226777107
"Indonesia","2007",30.4824515
"Japan","2007",107.015307373
"Malaysia","2007",41.408197527
"South Korea","2007",35.005718223
"Taiwan","2007",11.141343105
"Thailand","2007",36.213453516
"Pacific","2007",36.882324688
"Australia","2007",32.370525967
"New Zealand","2007",4.361798721
"Africa","2007",101.966689614
"Algeria","2007",26.279794701
"Egypt","2007",43.4
"Nigeria","2007",11.895061628
"South Africa","2007",4.221998942
"Middle-East","2007",303.239487652
"Iran","2007",123.215472579
"Kuwait","2007",12.06
"Saudi Arabia","2007",60.703024466
"United Arab Emirates","2007",47.748093664
"Belgium","2008",18.284732742
"Czech Rep.","2008",8.685271765
"France","2008",44.774821371
"Germany","2008",92.420100504
"Italy","2008",84.883048366
"Netherlands","2008",48.478320621
"Poland","2008",16.17291047
"Portugal","2008",4.720586201
"Romania","2008",16.002348809
"Spain","2008",40.319617267
"Sweden","2008",0.796856503
"United Kingdom","2008",99.073579573
"Norway","2008",5.634263785
"Turkey","2008",36.645011119
"CIS","2008",649.995457595
"Kazakhstan","2008",24.659448614
"Russia","2008",445.698894675
"Ukraine","2008",65.52990785
"Uzbekistan","2008",52.599989443
"America","2008",966.795508394
"North America","2008",759.442139467
"Canada","2008",100.284637256
