"Country","Year","NO2"
"Canada","2007","2281.1"
"Chile","2007","164.001"
"Czech Republic","2007","272.072"
"Denmark","2007","189.971"
"Finland","2007","203.80099999999999"
"France","2007","1271.806"
"Germany","2007","1499.088"
"Greece","2007","405.68099999999998"
"Hungary","2007","162.81299999999999"
"Iceland","2007","32.447000000000003"
"Ireland","2007","158.922"
"Israel","2007","204.48099999999999"
"Italy","2007","1165.056"
"Japan","2007","1770.22"
"Latvia","2007","42.613"
"Lithuania","2007","59.59"
"Mexico","2007",".."
"Netherlands","2007","361.90800000000002"
"New Zealand","2007","161.68899999999999"
"Poland","2007","877.62300000000005"
"Portugal","2007","244.982"
"Slovak Republic","2007","103.373"
"Slovenia","2007","54.5"
"Spain","2007","1344.2090000000001"
"Sweden","2007","174.19300000000001"
"Switzerland","2007","84.728999999999999"
"Turkey","2007","731.00400000000002"
"United Kingdom","2007","1619.316"
"United States","2007","16334.522999999999"
"OECD - Europe","2007","11798.201999999999"
"OECD - Total","2007","36131.74"
"Non-OECD Economies","2007","3764"
"Canada","2008","2207.988"
"Chile","2008","203.555"
"Czech Republic","2008","253.355"
"Denmark","2008","173.663"
"Finland","2008","186.252"
"France","2008","1174.741"
"Germany","2008","1427.728"
"Greece","2008","386.736"
"Hungary","2008","157.623"
"Iceland","2008","30.159"
"Ireland","2008","145.399"
"Israel","2008","200.111"
"Italy","2008","1080.06"
"Japan","2008","1638.557"
"Latvia","2008","39.058"
"Lithuania","2008","58.648"
"Mexico","2008","3206.888"
"Netherlands","2008","353.326"
"New Zealand","2008","164.382"
"Poland","2008","841.679"
"Portugal","2008","224.81"
"Slovak Republic","2008","104.153"
"Slovenia","2008","58.527"
"Spain","2008","1138.682"
"Sweden","2008","165.604"
"Switzerland","2008","83.1"
"Turkey","2008","722.522"
"United Kingdom","2008","1448.847"
"United States","2008","15252.744"
"OECD - Europe","2008","10935.212"
"OECD - Total","2008","33895.88"
"Non-OECD Economies","2008","3809"
"Canada","2009","2052.0100000000002"
"Chile","2009","220.33699999999999"
"Czech Republic","2009","234.79599999999999"
"Denmark","2009","154.85"
"Finland","2009","168.53700000000001"
"France","2009","1089.999"
"Germany","2009","1330.509"
"Greece","2009","374.32900000000001"
"Hungary","2009","146.53299999999999"
"Iceland","2009","30.094000000000001"
"Ireland","2009","121.904"
"Israel","2009","187.32599999999999"
"Italy","2009","995.80799999999999"
"Japan","2009","1551.117"
"Latvia","2009","36.917000000000002"
"Lithuania","2009","52.302"
"Mexico","2009",".."
"Netherlands","2009","321.90499999999997"
"New Zealand","2009","154.35"
"Poland","2009","830.78899999999999"
"Portugal","2009","214.62899999999999"
"Slovak Republic","2009","94.247"
"Slovenia","2009","50.561"
"Spain","2009","1016.152"
"Sweden","2009","154.69900000000001"
"Switzerland","2009","77.549000000000007"
"Turkey","2009","704.47500000000002"
"United Kingdom","2009","1261.873"
"United States","2009","14220.664000000001"
"OECD - Europe","2009","10088.951999999999"
"OECD - Total","2009","31723.14"
"Non-OECD Economies","2009","3669"
"Canada","2010","2096.0970000000002"
"Chile","2010","228.328"
"Czech Republic","2010","225.14500000000001"
"Denmark","2010","149.04499999999999"
"Finland","2010","177.84100000000001"
"France","2010","1075.424"
"Germany","2010","1357.3340000000001"
"Greece","2010","317.62299999999999"
"Hungary","2010","141.81"
"Iceland","2010","28.463000000000001"
"Ireland","2010","116.184"
"Israel","2010","187.50299999999999"
"Italy","2010","978.52599999999995"
"Japan","2010","1555.855"
"Latvia","2010","39.023000000000003"
"Lithuania","2010","54.878"
"Mexico","2010",".."
"Netherlands","2010","316.91800000000001"
"New Zealand","2010","153.952"
"Poland","2010","857.94399999999996"
"Portugal","2010","199.751"
"Slovak Republic","2010","93.68"
"Slovenia","2010","49.185000000000002"
"Spain","2010","957.76800000000003"
"Sweden","2010","158.06100000000001"
"Switzerland","2010","76.087999999999994"
"Turkey","2010","694.83100000000002"
"United Kingdom","2010","1238.7750000000001"
"United States","2010","13381.276"
