"Country","Year","Oilcons"
"Belgium","2007",21.605
"Czech Rep.","2007",9.504
"France","2007",82.947
"Germany","2007",99.273
"Italy","2007",77.93
"Netherlands","2007",26.97
"Poland","2007",22.985
"Portugal","2007",13.212
"Romania","2007",10.124
"Spain","2007",66.663
"Sweden","2007",12.851
"United Kingdom","2007",65.615
"Norway","2007",9.381
"Turkey","2007",30.269
"CIS","2007",170.91
"Kazakhstan","2007",10.095
"Russia","2007",122.9
"Ukraine","2007",14.306
"Uzbekistan","2007",4.16
"America","2007",1286.373647478
"North America","2007",966.917
"Canada","2007",106.899
"United States","2007",860.018
"Latin America","2007",319.456647478
"Argentina","2007",27.745
"Brazil","2007",92.006
"Chile","2007",14.503
"Colombia","2007",10.982
"Mexico","2007",90.754
"Venezuela","2007",27.888
"Asia","2007",1044.020610179
"China","2007",368.069
"India","2007",138.684
"Indonesia","2007",57.893
"Japan","2007",205.428
"Malaysia","2007",25.19
"South Korea","2007",89.435
"Taiwan","2007",42.672
"Thailand","2007",39.909
"Pacific","2007",48.283459
"Australia","2007",40.291
"New Zealand","2007",6.155
"Africa","2007",128.064644008
"Algeria","2007",11.656
"Egypt","2007",29.422
"Nigeria","2007",8.677
"South Africa","2007",23.489
"Middle-East","2007",256.53
"Iran","2007",85.76
"Kuwait","2007",13.165
"Saudi Arabia","2007",77.819
"United Arab Emirates","2007",10.61
"Belgium","2008",23.01
"Czech Rep.","2008",9.581
"France","2008",80.645
"Germany","2008",105.495
"Italy","2008",74.452
"Netherlands","2008",25.743
"Poland","2008",23.32
"Portugal","2008",12.519
"Romania","2008",9.944
"Spain","2008",63.372
"Sweden","2008",12.168
"United Kingdom","2008",63.602
"Norway","2008",9.052
"Turkey","2008",29.818
"CIS","2008",175.141
"Kazakhstan","2008",10.701
"Russia","2008",126.836
"Ukraine","2008",14.155
"Uzbekistan","2008",3.984
"America","2008",1236.529629924
"North America","2008",907.169
"Canada","2008",103.094
"United States","2008",804.075
"Latin America","2008",329.360629924
"Argentina","2008",30.299
"Brazil","2008",95.199
"Chile","2008",15.208
"Colombia","2008",11.037
"Mexico","2008",90.247
"Venezuela","2008",31.141
"Asia","2008",1025.875870352
"China","2008",376.204
"India","2008",142.295
"Indonesia","2008",60.182
"Japan","2008",188.166
"Malaysia","2008",24.451
"South Korea","2008",84.387
"Taiwan","2008",40.379
"Thailand","2008",37.661
"Pacific","2008",49.601084384
"Australia","2008",41.448
"New Zealand","2008",6.235
"Africa","2008",138.228681521
"Algeria","2008",12.969
"Egypt","2008",31.301
"Nigeria","2008",10.754
"South Africa","2008",23.994
"Middle-East","2008",271.387
"Iran","2008",85.544
"Kuwait","2008",15.898
"Saudi Arabia","2008",83.693
"United Arab Emirates","2008",11.226
"Belgium","2009",21.349
"Czech Rep.","2009",9.018
"France","2009",77.382
"Germany","2009",100.048
"Italy","2009",67.739
"Netherlands","2009",24.758
"Poland","2009",23.458
"Portugal","2009",11.701
"Romania","2009",8.664
"Spain","2009",58.977
"Sweden","2009",11.396
"United Kingdom","2009",60.267
"Norway","2009",8.943
"Turkey","2009",30.665
"CIS","2009",167.656
"Kazakhstan","2009",8.841
"Russia","2009",121.023
"Ukraine","2009",13.507
"Uzbekistan","2009",4.094
"America","2009",1179.192488769
"North America","2009",855.01
"Canada","2009",100.05
"United States","2009",754.96
"Latin America","2009",324.182488769
"Argentina","2009",28.713
"Brazil","2009",94.332
"Chile","2009",14.472
"Colombia","2009",9.848
"Mexico","2009",87.208
"Venezuela","2009",32.344
"Asia","2009",1040.101494609
"China","2009",383.372
"India","2009",143.905
"Indonesia","2009",61.271
"Japan","2009",182.885
"Malaysia","2009",25.739
"South Korea","2009",86.69
"Taiwan","2009",39.752
"Thailand","2009",39.66
"Pacific","2009",48.357782347
"Australia","2009",40.564
"New Zealand","2009",5.965
"Africa","2009",144.041198727
"Algeria","2009",14.004
"Egypt","2009",33.416
"Nigeria","2009",8.99
"South Africa","2009",23.146
"Middle-East","2009",274.751
"Iran","2009",87.211
"Kuwait","2009",17.123
"Saudi Arabia","2009",80.864
"United Arab Emirates","2009",12.613
"Belgium","2010",21.832
"Czech Rep.","2010",8.804
"France","2010",75.352
"Germany","2010",101.193
"Italy","2010",66.547
"Netherlands","2010",26.155
"Poland","2010",24.52
"Portugal","2010",11.305
"Romania","2010",8.083
"Spain","2010",57.482
"Sweden","2010",12.235
"United Kingdom","2010",59.987
"Norway","2010",9.283
"Turkey","2010",29.465
"CIS","2010",172.058
"Kazakhstan","2010",9.273
"Russia","2010",126.936
"Ukraine","2010",13.115
"Uzbekistan","2010",3.645
"America","2010",1218.91799189
"North America","2010",879.251
"Canada","2010",103.84
"United States","2010",775.411
"Latin America","2010",339.66699189
"Argentina","2010",29.863
"Brazil","2010",103.529
"Chile","2010",13.765
"Colombia","2010",10.228
"Mexico","2010",88.328
"Venezuela","2010",35.358
"Asia","2010",1076.074585668
"China","2010",400.537
"India","2010",147.338
"Indonesia","2010",65.465
"Japan","2010",182.782
"Malaysia","2010",24.04
"South Korea","2010",89.321
"Taiwan","2010",41.508
"Thailand","2010",42.202
"Pacific","2010",50.16489176
"Australia","2010",42.219
"New Zealand","2010",6.02
"Africa","2010",151.383578244
"Algeria","2010",14.113
"Egypt","2010",34.161
"Nigeria","2010",11.794
"South Africa","2010",23.431
"Middle-East","2010",271.458
"Iran","2010",77.954
"Kuwait","2010",16.211
"Saudi Arabia","2010",84.499
"United Arab Emirates","2010",12.85
"Belgium","2011",20.432
"Czech Rep.","2011",8.527
"France","2011",72.945
"Germany","2011",97.928
"Italy","2011",64.297
"Netherlands","2011",24.855
"Poland","2011",24.188
"Portugal","2011",10.322
"Romania","2011",8.489
"Spain","2011",53.664
"Sweden","2011",11.219
"United Kingdom","2011",57.417
"Norway","2011",8.964
"Turkey","2011",28.851
"CIS","2011",186.818
"Kazakhstan","2011",10.094
"Russia","2011",139.14
"Ukraine","2011",12.968
"Uzbekistan","2011",3.359
"America","2011",1214.878755397
"North America","2011",866.578
"Canada","2011",105.157
"United States","2011",761.421
"Latin America","2011",348.300755397
"Argentina","2011",30.732
"Brazil","2011",109.253
"Chile","2011",14.236
"Colombia","2011",11.938
"Mexico","2011",89.799
"Venezuela","2011",32.332
"Asia","2011",1109.627377098
"China","2011",419.309
"India","2011",154.464
"Indonesia","2011",69.106
"Japan","2011",185.33
"Malaysia","2011",26.528
"South Korea","2011",88.869
"Taiwan","2011",38.15
"Thailand","2011",43.586
"Pacific","2011",52.032132908
"Australia","2011",44.162
"New Zealand","2011",5.998
"Africa","2011",150.249865411
"Algeria","2011",14.83
"Egypt","2011",33.745
"Nigeria","2011",11.004
"South Africa","2011",25.054
"Middle-East","2011",275.311
"Iran","2011",75.845
"Kuwait","2011",14.884
"Saudi Arabia","2011",88.925
"United Arab Emirates","2011",13.929
"Belgium","2012",20.542
"Czech Rep.","2012",8.449
"France","2012",71.123
"Germany","2012",97.695
"Italy","2012",58.63
"Netherlands","2012",25.29
"Poland","2012",22.885
"Portugal","2012",9.14
"Romania","2012",8.876
"Spain","2012",49.451
"Sweden","2012",10.579
"United Kingdom","2012",56.674
"Norway","2012",8.775
"Turkey","2012",30.963
"CIS","2012",190.687
"Kazakhstan","2012",10.468
"Russia","2012",140.345
"Ukraine","2012",12.735
"Uzbekistan","2012",2.993
"America","2012",1210.364466401
"North America","2012",847.896
"Canada","2012",107.994
"United States","2012",739.902
"Latin America","2012",362.468466401
"Argentina","2012",32.023
"Brazil","2012",115.8
"Chile","2012",14.328
"Colombia","2012",12.287
"Mexico","2012",89.313
