"Country","Year","SO2"
"Australia","2007","2334.172"
"Austria","2007","214.19800000000001"
"Belgium","2007","290.74700000000001"
"Canada","2007","2281.1"
"Czech Republic","2007","272.072"
"Denmark","2007","189.971"
"Estonia","2007","44.784999999999997"
"Finland","2007","203.80099999999999"
"France","2007","1271.806"
"Germany","2007","1499.088"
"Greece","2007","405.68099999999998"
"Hungary","2007","162.81299999999999"
"Iceland","2007","32.447000000000003"
"Ireland","2007","158.922"
"Italy","2007","1165.056"
"Japan","2007","1770.22"
"Latvia","2007","42.613"
"Lithuania","2007","59.59"
"Luxembourg","2007","42.704999999999998"
"Netherlands","2007","361.90800000000002"
"New Zealand","2007","161.68899999999999"
"Norway","2007","205.66200000000001"
"Poland","2007","877.62300000000005"
"Portugal","2007","244.982"
"Slovak Republic","2007","103.373"
"Slovenia","2007","54.5"
"Spain","2007","1344.2090000000001"
"Sweden","2007","174.19300000000001"
"Switzerland","2007","84.728999999999999"
"Turkey","2007","731.00400000000002"
"United Kingdom","2007","1619.316"
"United States","2007","16334.522999999999"
"OECD - Europe","2007","11798.201999999999"
"OECD - Total","2007","36131.74"
"Non-OECD Economies","2007","3764"
"Australia","2008","2393.308"
"Austria","2008","198.67699999999999"
"Belgium","2008","264.05399999999997"
"Canada","2008","2207.9879999999998"
"Czech Republic","2008","253.35499999999999"
"Denmark","2008","173.66300000000001"
"Estonia","2008","41.56"
"Finland","2008","186.25200000000001"
"France","2008","1174.741"
"Germany","2008","1427.7280000000001"
"Greece","2008","386.73599999999999"
"Hungary","2008","157.62299999999999"
"Iceland","2008","30.158999999999999"
"Ireland","2008","145.399"
"Italy","2008","1080.06"
"Japan","2008","1638.557"
"Latvia","2008","39.058"
"Lithuania","2008","58.648000000000003"
"Luxembourg","2008","38.481000000000002"
"Netherlands","2008","353.32600000000002"
"New Zealand","2008","164.38200000000001"
"Norway","2008","196.416"
"Poland","2008","841.67899999999997"
"Portugal","2008","224.81"
"Slovak Republic","2008","104.15300000000001"
"Slovenia","2008","58.527000000000001"
"Spain","2008","1138.682"
"Sweden","2008","165.60400000000001"
"Switzerland","2008","83.1"
"Turkey","2008","722.52200000000005"
"United Kingdom","2008","1448.847"
"United States","2008","15252.744000000001"
"OECD - Europe","2008","10935.212"
